"","aicha","Network_7","total_nb_voxel","aicha_surfice","hemisphere","Network_7_nb"
"338",339,"Vis",69,170,"LH",1
"339",340,"Vis",115,170,"RH",1
"340",341,"Vis",331,171,"LH",1
"341",342,"Vis",381,171,"RH",1
"342",343,"Vis",169,172,"LH",1
"343",344,"Vis",173,172,"RH",1
"344",351,"Limbic",25,176,"LH",5
"345",352,"Limbic",17,176,"RH",5
"346",365,"SalVentAttn",11,183,"LH",4
"347",366,"SalVentAttn",4,183,"RH",4
